Code zone,Code Produit,Code année,Emission de CO2
2,6750,2015,0.0
2,6750,2016,0.0
2,6750,2017,0.0
2,6750,2018,0.0
2,6750,2019,0.0
2,6751,2015,-246.2191
2,6751,2016,154.6574
2,6751,2017,154.6574
2,6751,2018,154.6574
2,6751,2019,154.6574
2,6993,2015,0.0
2,6993,2016,0.0
2,6993,2017,0.0
2,6993,2018,0.0
2,6993,2019,0.0
2,6994,2015,231.8452
2,6994,2016,181.6056
2,6994,2017,132.7927
2,6994,2018,132.8417
2,6994,2019,117.0798
202,67292,2015,392.5559
202,67292,2016,391.7937
202,67292,2017,392.4639
202,67292,2018,392.6399
202,67292,2019,392.6399
202,6750,2015,6653.3133
202,6750,2016,6661.3213
202,6750,2017,6661.3213
202,6750,2018,6661.3213
202,6750,2019,6661.3213
202,6751,2015,-758.212
202,6751,2016,-500.13599999999997
202,6751,2017,-500.13599999999997
202,6751,2018,-500.13599999999997
202,6751,2019,-500.13599999999997
202,6993,2015,1735.6182
202,6993,2016,214.9677
202,6993,2017,1981.7049
202,6993,2018,788.3330000000001
202,6993,2019,2012.3584
202,6994,2015,6109.689
202,6994,2016,10121.699
202,6994,2017,10385.6541
202,6994,2018,7299.3284
202,6994,2019,7363.9523
3,67292,2015,116.49700000000001
3,67292,2016,116.3398
3,67292,2017,116.3398
3,67292,2018,114.1346
3,67292,2019,114.1346
3,6750,2015,0.0
3,6750,2016,0.0
3,6750,2017,0.0
3,6750,2018,0.0
3,6750,2019,0.0
3,6751,2015,-961.0391
3,6751,2016,-352.0139
3,6751,2017,-352.0139
3,6751,2018,-352.0139
3,6751,2019,-352.0139
3,6993,2015,7.6443
3,6993,2016,0.0
3,6993,2017,2.9557
3,6993,2018,0.0
3,6993,2019,0.0
3,6994,2015,277.2587
3,6994,2016,270.9307
3,6994,2017,309.3101
3,6994,2018,315.8057
3,6994,2019,322.5184
4,6750,2015,276.32
4,6750,2016,637.8973
4,6750,2017,637.8973
4,6750,2018,637.8973
4,6750,2019,637.8973
4,6751,2015,-901.7360000000001
4,6751,2016,-440.7773
4,6751,2017,-440.7773
4,6751,2018,-440.7773
4,6751,2019,-440.7773
4,6993,2015,0.0
4,6993,2016,0.0
4,6993,2017,0.0
4,6993,2018,0.0
4,6993,2019,0.0
4,6994,2015,393.7252
4,6994,2016,380.7262
4,6994,2017,387.1334
4,6994,2018,360.4781
4,6994,2019,352.1759
79,67292,2015,9832.0246
79,67292,2016,9639.8494
79,67292,2017,9629.7956
79,67292,2018,9627.2744
79,67292,2019,9627.2744
79,6750,2015,0.0
79,6750,2016,0.0
79,6750,2017,0.0
79,6750,2018,0.0
79,6750,2019,0.0
79,6751,2015,-39069.5213
79,6751,2016,-39106.2687
79,6751,2017,-39106.2687
79,6751,2018,-39106.2687
79,6751,2019,-39106.2687
79,6993,2015,7.5492
79,6993,2016,0.1887
79,6993,2017,32.5389
79,6993,2018,95.9018
79,6993,2019,0.0
79,6994,2015,8371.9868
79,6994,2016,8245.0325
79,6994,2017,7951.5832
79,6994,2018,8071.6622
79,6994,2019,7999.3832
6,6750,2015,0.0
6,6750,2016,0.0
6,6750,2017,0.0
6,6750,2018,0.0
6,6750,2019,0.0
6,6751,2015,0.0
6,6751,2016,0.0
6,6751,2017,0.0
6,6751,2018,0.0
6,6751,2019,0.0
6,6993,2015,0.0
6,6993,2016,0.0
6,6993,2017,0.0
6,6993,2018,0.0
6,6993,2019,0.0
6,6994,2015,19.4042
6,6994,2016,19.7583
6,6994,2017,19.7597
6,6994,2018,20.4521
6,6994,2019,20.7124
7,67292,2015,432.3288
7,67292,2016,428.8924
7,67292,2017,428.8924
7,67292,2018,423.3545
7,67292,2019,423.3545
7,6750,2015,35168.7283
7,6750,2016,35168.7283
7,6750,2017,35168.7283
7,6750,2018,35168.7283
7,6750,2019,35168.7283
7,6751,2015,0.0
7,6751,2016,0.0
7,6751,2017,0.0
7,6751,2018,0.0
7,6751,2019,0.0
7,6993,2015,56619.3265
7,6993,2016,38304.8439
7,6993,2017,42451.458
7,6993,2018,42674.1843
7,6993,2019,62666.1501
7,6994,2015,161.9565
7,6994,2016,218.0189
7,6994,2017,173.4847
7,6994,2018,186.8427
7,6994,2019,188.521
258,6993,2015,0.0
258,6993,2016,0.0
258,6993,2017,0.0
258,6993,2018,0.0
258,6993,2019,0.0
258,6994,2015,3.8762
258,6994,2016,3.5759
258,6994,2017,3.3825
258,6994,2018,3.6581
258,6994,2019,3.6874
8,6993,2015,0.0
8,6993,2016,0.0
8,6993,2017,0.0
8,6993,2018,0.0
8,6993,2019,0.0
8,6994,2015,3.1149
8,6994,2016,3.2008
8,6994,2017,3.1309
8,6994,2018,3.3876
8,6994,2019,3.4772
151,6750,2015,0.0
151,6750,2016,0.0
151,6750,2017,0.0
151,6750,2018,0.0
151,6750,2019,0.0
151,6751,2015,-0.0498
151,6751,2016,-0.1076
151,6751,2017,-0.1076
151,6751,2018,-0.1076
151,6751,2019,-0.1076
151,6993,2015,0.0
151,6993,2016,0.0
151,6993,2017,0.0
151,6993,2018,0.0
151,6993,2019,0.0
194,6750,2015,0.0
194,6750,2016,0.0
194,6750,2017,0.0
194,6750,2018,0.0
194,6750,2019,0.0
194,6751,2015,0.0
194,6751,2016,0.0
194,6751,2017,0.0
194,6751,2018,0.0
194,6751,2019,0.0
194,6993,2015,0.0
194,6993,2016,0.0
194,6993,2017,0.0
194,6993,2018,0.0
194,6993,2019,0.0
194,6994,2015,15818.0977
194,6994,2016,13906.6769
194,6994,2017,11245.536
194,6994,2018,11878.1007
194,6994,2019,11293.6037
9,67292,2015,2965.0807
9,67292,2016,2960.631
9,67292,2017,2959.7976
9,67292,2018,2949.9848
9,67292,2019,2949.9848
9,6750,2015,97341.75
9,6750,2016,54702.45
9,6750,2017,54702.45
9,6750,2018,54702.45
9,6750,2019,54702.45
9,6751,2015,-34737.0613
9,6751,2016,-27952.2907
9,6751,2017,-27952.2907
9,6751,2018,-27952.2907
9,6751,2019,-27952.2907
9,6993,2015,1444.1463
9,6993,2016,3722.3444
9,6993,2017,2270.4241
9,6993,2018,4741.7497
9,6993,2019,8371.3442
9,6994,2015,12981.0122
9,6994,2016,12635.3279
9,6994,2017,12897.4086
9,6994,2018,12626.5871
9,6994,2019,12682.9759
1,6750,2015,35.3649
1,6750,2016,36.0668
1,6750,2017,36.0668
1,6750,2018,36.0668
1,6750,2019,36.0668
1,6751,2015,-113.5746
1,6751,2016,0.0
1,6751,2017,0.0
1,6751,2018,0.0
1,6751,2019,0.0
1,6993,2015,0.0
1,6993,2016,0.0
1,6993,2017,0.0
1,6993,2018,0.0
1,6993,2019,0.0
1,6994,2015,403.8736
1,6994,2016,406.5651
1,6994,2017,397.4356
1,6994,2018,403.1047
1,6994,2019,403.7964
22,6750,2015,0.0
22,6750,2016,0.0
22,6750,2017,0.0
22,6750,2018,0.0
22,6750,2019,0.0
22,6751,2015,-0.0565
22,6751,2016,-0.1222
22,6751,2017,-0.1222
22,6751,2018,-0.1222
22,6751,2019,-0.1222
22,6993,2015,0.0
22,6993,2016,0.0
22,6993,2017,0.0
22,6993,2018,0.0
22,6993,2019,0.0
22,6994,2015,6.3173
22,6994,2016,6.1222
22,6994,2017,6.1579999999999995
22,6994,2018,6.247000000000001
22,6994,2019,6.1952
10,67292,2015,2519.3635
10,67292,2016,2517.8097
10,67292,2017,2516.4679
10,67292,2018,2516.8168
10,67292,2019,2516.8168
10,6750,2015,0.0
10,6750,2016,1256.3833
10,6750,2017,1256.3833
10,6750,2018,1256.3833
10,6750,2019,1256.3833
10,6751,2015,-31963.9195
10,6751,2016,-1585.0912
10,6751,2017,-1585.0912
10,6751,2018,-1585.0912
10,6751,2019,-1585.0912
10,6993,2015,32.5567
10,6993,2016,547.7104
10,6993,2017,1589.6437
10,6993,2018,245.1117
10,6993,2019,5031.2405
10,6994,2015,6905.4437
10,6994,2016,7208.066
10,6994,2017,7658.3606
10,6994,2018,7746.1425
10,6994,2019,7983.9912
11,67292,2015,93.6826
11,67292,2016,91.6087
11,67292,2017,91.6087
11,67292,2018,91.6087
11,67292,2019,91.6087
11,6750,2015,354.288
11,6750,2016,225.94
11,6750,2017,225.94
11,6750,2018,225.94
11,6750,2019,225.94
11,6751,2015,-7516.8522
11,6751,2016,-7440.2896
11,6751,2017,-7440.2896
11,6751,2018,-7440.2896
11,6751,2019,-7440.2896
11,6993,2015,0.0
11,6993,2016,0.0943
11,6993,2017,0.0
11,6993,2018,0.0
11,6993,2019,0.0
11,6994,2015,904.3346
11,6994,2016,917.9009
11,6994,2017,901.943
11,6994,2018,894.7660000000001
11,6994,2019,894.4637
52,6750,2015,0.0
52,6750,2016,454.8745
52,6750,2017,454.8745
52,6750,2018,454.8745
52,6750,2019,454.8745
52,6751,2015,-2848.35
52,6751,2016,-2370.8966
52,6751,2017,-2370.8966
52,6751,2018,-2370.8966
52,6751,2019,-2370.8966
52,6993,2015,0.0
52,6993,2016,0.0
52,6993,2017,0.0
52,6993,2018,0.0
52,6993,2019,0.0
52,6994,2015,1115.5923
52,6994,2016,1035.7704
52,6994,2017,1066.753
52,6994,2018,1172.9109
52,6994,2019,1179.6027
12,6750,2015,0.0
12,6750,2016,0.0
12,6750,2017,0.0
12,6750,2018,0.0
12,6750,2019,0.0
12,6751,2015,0.0
12,6751,2016,0.0
12,6751,2017,0.0
12,6751,2018,0.0
12,6751,2019,0.0
