Code Produit,Code année,Emission de ch4,Emission de CO2,Emission de N2O,Emission indirecte de NO2
5066,2017,4.6252,,,
5066,2018,4.3886,,,
5066,2019,4.4907,,,
6795,2015,0.003,,,
6795,2016,0.0016,,,
6795,2017,0.0101,,,
6795,2018,0.0116,,,
6795,2019,0.0006,,,
6992,2015,0.0,,,
6992,2016,0.01,,,
6992,2017,0.1024,,,
6992,2018,0.0125,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0512,7.5492,,
6993,2016,0.0013,0.1887,,
6993,2017,0.2207,32.5389,,
6993,2018,0.6504,95.9018,,
6993,2019,0.0,0.0,,
6994,2015,0.8637,8371.9868,,
6994,2016,0.8263,8245.0325,,
6994,2017,0.8006,7951.5832,,
6994,2018,0.7419,8071.6622,,
6994,2019,0.7295,7999.3832,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.0015,19.4042,,
6994,2016,0.0016,19.7583,,
6994,2017,0.0016,19.7597,,
6994,2018,0.0016,20.4521,,
6994,2019,0.0016,20.7124,,
5058,2015,191.9125,,,
5058,2016,191.6762,,,
5058,2017,193.2326,,,
5058,2018,195.53599999999997,,,
5058,2019,197.83599999999998,,,
5059,2015,9.7637,,,
5059,2016,9.7968,,,
5059,2017,10.0596,,,
5059,2018,10.3445,,,
5059,2019,10.7506,,,
5060,2015,8.4221,,,
5060,2016,4.499,,,
5060,2017,3.0554,,,
5060,2018,2.3568,,,
5060,2019,2.3708,,,
5066,2015,4.5818,,,
5066,2016,6.2264,,,
5066,2017,7.2387,,,
5066,2018,7.1706,,,
5066,2019,7.18,,,
6795,2015,493.8958,,,
6795,2016,495.9712,,,
6795,2017,506.3864,,,
6795,2018,433.3217,,,
6795,2019,503.75199999999995,,,
6992,2015,246.4507,,,
6992,2016,230.0926,,,
6992,2017,278.4288,,,
6992,2018,177.5722,,,
6992,2019,249.3987,,,
69921,2015,238.1312,,,
69921,2016,224.7617,,,
69921,2017,274.3438,,,
69921,2018,173.9313,,,
69921,2019,243.53400000000002,,,
6993,2015,699.0039999999999,56619.3265,,
6993,2016,472.8993,38304.8439,,
6993,2017,524.0921,42451.458,,
6993,2018,526.8418,42674.1843,,
6993,2019,773.653,62666.1501,,
6994,2015,0.055,161.9565,,
6994,2016,0.0566,218.0189,,
6994,2017,0.0426,173.4847,,
6994,2018,0.0453,186.8427,,
6994,2019,0.0421,188.521,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.0123,3.8762,,
6994,2016,0.0113,3.5759,,
6994,2017,0.0107,3.3825,,
6994,2018,0.0116,3.6581,,
6994,2019,0.0117,3.6874,,
5058,2015,0.5727,,,
5058,2016,0.5704,,,
5058,2017,0.5721,,,
5058,2018,0.5466,,,
5058,2019,0.4731,,,
5059,2015,0.0332,,,
5059,2016,0.0334,,,
5059,2017,0.0336,,,
5059,2018,0.0327,,,
5059,2019,0.0306,,,
5066,2015,0.0001,,,
5066,2016,0.0001,,,
5066,2017,0.0001,,,
5066,2018,0.0001,,,
5066,2019,0.0001,,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.0002,3.1149,,
6994,2016,0.0003,3.2008,,
6994,2017,0.0002,3.1309,,
6994,2018,0.0003,3.3876,,
6994,2019,0.0003,3.4772,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
5058,2015,102.0313,,,
5058,2016,103.0302,,,
5058,2017,104.0395,,,
5058,2018,107.6474,,,
5058,2019,111.9621,,,
5059,2015,7.4405,,,
5059,2016,7.5878,,,
5059,2017,7.6322,,,
5059,2018,7.8135,,,
5059,2019,8.0461,,,
5060,2015,0.0,,,
5060,2016,0.0,,,
5060,2017,0.0,,,
5060,2018,0.0,,,
5060,2019,0.0,,,
5066,2015,0.1286,,,
5066,2016,0.1194,,,
5066,2017,0.1109,,,
5066,2018,0.1236,,,
5066,2019,0.1162,,,
6795,2015,0.0946,,,
6795,2016,0.0322,,,
6795,2017,0.0305,,,
6795,2018,0.059000000000000004,,,
6795,2019,0.0119,,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,2.0335,15818.0977,,
6994,2016,1.7992,13906.6769,,
6994,2017,1.6052,11245.536,,
6994,2018,1.7107,11878.1007,,
6994,2019,1.6666,11293.6037,,
5058,2015,3084.4557,,,
5058,2016,3124.7243,,,
5058,2017,3245.0728,,,
5058,2018,3223.8574,,,
5058,2019,3224.7096,,,
5059,2015,65.3802,,,
5059,2016,66.5725,,,
5059,2017,68.8904,,,
5059,2018,68.5052,,,
5059,2019,68.6615,,,
5060,2015,65.1252,,,
5060,2016,58.1672,,,
5060,2017,57.148,,,
5060,2018,55.4876,,,
5060,2019,51.3198,,,
5066,2015,18.8675,,,
5066,2016,19.7315,,,
5066,2017,24.6884,,,
5066,2018,26.6601,,,
5066,2019,27.1714,,,
6795,2015,28.4442,,,
6795,2016,44.1219,,,
6795,2017,67.9082,,,
6795,2018,42.8015,,,
6795,2019,27.7562,,,
6992,2015,4.6482,,,
6992,2016,3.6319999999999997,,,
6992,2017,12.7631,,,
6992,2018,2.8625,,,
6992,2019,2.9989999999999997,,,
69921,2015,0.8461,,,
69921,2016,1.5051,,,
69921,2017,10.6471,,,
69921,2018,1.4742,,,
69921,2019,1.2559,,,
6993,2015,17.829,1444.1463,,
6993,2016,45.9549,3722.3444,,
6993,2017,28.0299,2270.4241,,
6993,2018,58.5401,4741.7497,,
6993,2019,103.3499,8371.3442,,
6994,2015,0.8379,12981.0122,,
6994,2016,0.8013,12635.3279,,
6994,2017,0.8072,12897.4086,,
6994,2018,0.8342,12626.5871,,
6994,2019,0.8413,12682.9759,,
5058,2015,30.2039,,,
5058,2016,30.8638,,,
5058,2017,28.8316,,,
5058,2018,26.0156,,,
5058,2019,25.173000000000002,,,
5059,2015,1.2804,,,
5059,2016,1.3311,,,
5059,2017,1.2557,,,
5059,2018,1.1508,,,
5059,2019,1.146,,,
5066,2015,0.1257,,,
5066,2016,0.1256,,,
5066,2017,0.0932,,,
5066,2018,0.0754,,,
5066,2019,0.0652,,,
6795,2015,0.0759,,,
6795,2016,0.0689,,,
6795,2017,0.1451,,,
6795,2018,0.0888,,,
6795,2019,0.12300000000000001,,,
6992,2015,0.0075,,,
6992,2016,0.0,,,
6992,2017,0.0025,,,
6992,2018,0.0398,,,
6992,2019,0.01,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.0488,403.8736,,
6994,2016,0.0494,406.5651,,
6994,2017,0.0491,397.4356,,
6994,2018,0.05,403.1047,,
6994,2019,0.0505,403.7964,,
6992,2015,0.0,,,
6992,2016,0.0,,,
6992,2017,0.0,,,
6992,2018,0.0,,,
6992,2019,0.0,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0,0.0,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.02,6.3173,,
6994,2016,0.0194,6.1222,,
6994,2017,0.0195,6.1579999999999995,,
6994,2018,0.0198,6.247000000000001,,
6994,2019,0.0196,6.1952,,
5058,2015,2289.0499,,,
5058,2016,2111.6794,,,
5058,2017,2219.2036,,,
5058,2018,2216.8504,,,
5058,2019,2077.7231,,,
5059,2015,155.7799,,,
5059,2016,146.7881,,,
5059,2017,152.1341,,,
5059,2018,153.4673,,,
5059,2019,141.5624,,,
5060,2015,21.9442,,,
5060,2016,8.3869,,,
5060,2017,25.8943,,,
5060,2018,19.2626,,,
5060,2019,2.4003,,,
5066,2015,14.2995,,,
5066,2016,13.152999999999999,,,
5066,2017,14.2673,,,
5066,2018,12.8034,,,
5066,2019,12.1651,,,
6795,2015,924.1742,,,
6795,2016,439.8707,,,
6795,2017,1154.6231,,,
6795,2018,1119.5327,,,
6795,2019,597.5602,,,
6992,2015,25.5894,,,
6992,2016,33.3953,,,
6992,2017,21.1144,,,
6992,2018,32.5077,,,
6992,2019,389.1657,,,
69921,2015,1.5665,,,
69921,2016,1.7346,,,
69921,2017,1.2134,,,
69921,2018,8.0669,,,
69921,2019,0.9638,,,
6993,2015,0.2208,32.5567,,
6993,2016,5.8204,547.7104,,
6993,2017,19.3208,1589.6437,,
6993,2018,2.364,245.1117,,
6993,2019,55.5447,5031.2405,,
6994,2015,1.1259,6905.4437,,
6994,2016,1.1684,7208.066,,
6994,2017,1.199,7658.3606,,
6994,2018,1.2548,7746.1425,,
6994,2019,1.2909,7983.9912,,
5058,2015,153.0964,,,
5058,2016,152.8566,,,
5058,2017,153.1071,,,
5058,2018,148.8756,,,
5058,2019,146.4205,,,
5059,2015,39.5662,,,
5059,2016,39.4864,,,
5059,2017,39.2383,,,
5059,2018,38.628,,,
5059,2019,38.2746,,,
5066,2015,0.8368,,,
5066,2016,0.8675,,,
5066,2017,0.8842,,,
5066,2018,0.8846,,,
5066,2019,0.8965,,,
6795,2016,0.0002,,,
6795,2017,0.004,,,
6992,2015,0.0,,,
6992,2016,0.0075,,,
6992,2017,0.0125,,,
6992,2018,0.0324,,,
6992,2019,0.0075,,,
69921,2015,0.0,,,
69921,2016,0.0,,,
69921,2017,0.0,,,
69921,2018,0.0,,,
69921,2019,0.0,,,
6993,2015,0.0,0.0,,
6993,2016,0.0006,0.0943,,
6993,2017,0.0,0.0,,
6993,2018,0.0,0.0,,
6993,2019,0.0,0.0,,
6994,2015,0.16399999999999998,904.3346,,
6994,2016,0.1656,917.9009,,
6994,2017,0.1601,901.943,,
6994,2018,0.1616,894.7660000000001,,
6994,2019,0.1618,894.4637,,
5058,2015,154.3489,,,
5058,2016,153.0588,,,
5058,2017,150.8969,,,
5058,2018,148.9306,,,
5058,2019,147.4804,,,
