Code Produit,Code année,Emission de N2O,Emission indirecte de NO2
5063,2018,73.3449,16.7235
5063,2019,73.4365,16.7691
5064,2015,20.6633,4.6492
5064,2016,20.8447,4.6901
5064,2017,22.2683,5.0104
5064,2018,19.1858,4.3168
5064,2019,23.3799,5.2605
5061,2015,0.9944,0.3232
5061,2016,2.2989,0.7471
5061,2017,1.416,0.4602
5061,2018,1.416,0.4602
5061,2019,1.7103,0.5558
5062,2015,0.0665,0.0283
5062,2016,0.0733,0.0312
5062,2017,0.0714,0.0304
5062,2018,0.068,0.0289
5062,2019,0.0733,0.0312
5063,2015,1.3296,0.3144
5063,2016,1.3538,0.3208
5063,2017,1.2657,0.2998
5063,2018,1.15,0.2724
5063,2019,1.1109,0.2633
5064,2015,0.1343,0.0302
5064,2016,0.1343,0.0302
5064,2017,0.0781,0.0176
5064,2018,0.0801,0.018000000000000002
5064,2019,0.0548,0.0123
5061,2015,20.472,6.6534
5061,2016,23.1646,7.5285
5061,2017,23.4741,7.6291
5061,2018,22.1763,7.2073
5061,2019,22.9383,7.455
5062,2015,2.3426,0.9956
5062,2016,2.2137,0.9408
5062,2017,2.3186,0.9854
5062,2018,2.3627,1.0042
5062,2019,2.3084,0.9811
5063,2015,71.1792,20.1397
5063,2016,65.8921,18.7916
5063,2017,69.378,19.8337
5063,2018,69.1241,19.6437
5063,2019,64.934,18.4812
5064,2015,7.7828,1.7511
5064,2016,7.3555,1.655
5064,2017,10.1009,2.2727
5064,2018,7.1093,1.5996
5064,2019,6.32,1.422
5061,2015,1.8924,0.615
5061,2016,1.8518,0.6018
5061,2017,1.7969,0.584
5061,2018,1.7969,0.584
5061,2019,1.8152,0.5899
5062,2015,1.5526,0.6599
5062,2016,1.5521,0.6597
5062,2017,1.5483,0.6579999999999999
5062,2018,1.5234,0.6474
5062,2019,1.5053,0.6398
5063,2015,1.2239,0.2896
5063,2016,1.2245,0.2902
5063,2017,1.2314,0.2934
5063,2018,1.1683,0.2713
5063,2019,1.1496,0.2672
5064,2015,0.7859999999999999,0.1768
5064,2016,0.9041,0.2034
5064,2017,0.7772,0.1749
5064,2018,0.7617,0.1714
5064,2019,0.8559,0.1926
5061,2015,1.4101,0.4583
5061,2016,1.3606,0.4422
5061,2017,1.1265,0.3661
5061,2018,1.869,0.6074
5061,2019,1.452,0.4719
5062,2015,0.2267,0.0963
5062,2016,0.2201,0.0936
5062,2017,0.2192,0.0932
5062,2018,0.2128,0.0905
5062,2019,0.2122,0.0902
5063,2015,6.3327,1.7113
5063,2016,6.332000000000001,1.7082
5063,2017,6.2941,1.6929
5063,2018,6.2454,1.6758
5063,2019,6.2257,1.6665
5064,2015,0.603,0.1357
5064,2016,0.621,0.1397
5064,2017,0.5926,0.1333
5064,2018,0.6617,0.1489
5064,2019,0.7021,0.158
5061,2015,0.0104,0.0034
5061,2016,0.0104,0.0034
5061,2017,0.0104,0.0034
5061,2018,0.0104,0.0034
5061,2019,0.0104,0.0034
5062,2015,0.0119,0.0051
5062,2016,0.0119,0.0051
5062,2017,0.0116,0.0049
5062,2018,0.0117,0.005
5062,2019,0.0117,0.005
5063,2015,0.0204,0.0054
5063,2016,0.0204,0.0053
5063,2017,0.02,0.0053
5063,2018,0.0201,0.0053
5063,2019,0.0202,0.0053
5064,2015,0.0001,0.0
5064,2016,0.0001,0.0
5064,2017,0.0001,0.0
5064,2018,0.0001,0.0
5064,2019,0.0001,0.0
5061,2015,0.034,0.011000000000000001
5061,2016,0.0032,0.0011
5061,2017,0.0025,0.0008
5061,2018,0.0482,0.0157
5061,2019,0.018000000000000002,0.0058
5062,2015,0.0065,0.0028
5062,2016,0.0113,0.0048
5062,2017,0.0155,0.0066
5062,2018,0.0172,0.0073
5062,2019,0.0174,0.0074
5063,2015,0.0599,0.0157
5063,2016,0.0839,0.0212
5063,2017,0.1044,0.0259
5063,2018,0.1136,0.0281
5063,2019,0.1155,0.0285
5064,2015,0.0,0.0
5064,2016,0.0,0.0
5064,2017,0.0,0.0
5064,2018,0.0,0.0
5064,2019,0.0,0.0
5061,2015,20.7576,6.7462
5061,2016,18.4219,5.9871
5061,2017,19.4926,6.3351
5061,2018,20.9091,6.7955
5061,2019,19.6079,6.3726
5062,2015,3.8761,1.6473
5062,2016,3.9227,1.6672
5062,2017,4.0146,1.7062
5062,2018,4.0755,1.7321
5062,2019,4.0362,1.7154
5063,2015,23.2101,7.6664
5063,2016,23.2948,7.6911
5063,2017,24.1831,8.0445
5063,2018,24.4343,8.1264
5063,2019,24.6088,8.2147
5064,2015,10.6254,2.3907
5064,2016,10.3752,2.3344
5064,2017,11.0943,2.4962
5064,2018,11.0695,2.4906
5064,2019,11.1089,2.4995
5061,2015,0.0065,0.0021
5061,2016,0.0044,0.0014
5061,2017,0.0085,0.0028
5061,2018,0.0036,0.0012
5061,2019,0.0055,0.0018
5062,2015,0.0221,0.0094
5062,2016,0.0246,0.0105
5062,2017,0.0241,0.0102
5062,2018,0.0231,0.0098
5062,2019,0.0234,0.0099
5063,2015,0.0409,0.0099
5063,2016,0.0445,0.0107
5063,2017,0.0437,0.0106
5063,2018,0.0424,0.0103
5063,2019,0.0428,0.0104
5064,2015,0.0,0.0
5064,2016,0.0,0.0
5064,2017,0.0,0.0
5064,2018,0.0,0.0
5064,2019,0.0,0.0
5061,2015,6.9736,2.2664
5061,2016,5.4766,1.7799
5061,2017,6.3933,2.0778
5061,2018,6.3626,2.0679
5061,2019,6.0775,1.9752
5062,2015,3.1247,1.328
5062,2016,3.0901,1.3133
5062,2017,3.1185,1.3253
5062,2018,3.0526,1.2973
5062,2019,3.0019,1.2758
5063,2015,1.5747,0.3501
5063,2016,1.5516,0.3444
5063,2017,1.5667,0.3466
5063,2018,1.5554,0.3433
5063,2019,1.5366,0.3385
5064,2015,1.4087,0.317
5064,2016,1.2319,0.2772
5064,2017,1.3291,0.299
5064,2018,1.0907,0.2454
5064,2019,1.2497,0.2812
5061,2015,2.7845,0.905
5061,2016,2.7001,0.8775
5061,2017,2.6785,0.8705
5061,2018,2.6785,0.8705
5061,2019,2.6857,0.8728
5062,2015,2.3227,0.9872
5062,2016,2.2539,0.9579
5062,2017,2.178,0.9256
5062,2018,2.2371,0.9508
5062,2019,2.1988,0.9345
5063,2015,1.4142,0.3111
5063,2016,1.4087,0.3093
5063,2017,1.3521,0.2982
5063,2018,1.3615,0.3002
5063,2019,1.3495,0.2977
5064,2015,0.6242,0.1405
5064,2016,0.4793,0.1078
5064,2017,0.5721,0.1287
5064,2018,0.5061,0.1139
5064,2019,0.5876,0.1322
5061,2015,0.2768,0.09
5061,2016,0.2642,0.0859
5061,2017,0.2134,0.0693
5061,2018,0.1682,0.0547
5061,2019,0.2153,0.07
5062,2015,0.0157,0.0067
5062,2016,0.016,0.0068
5062,2017,0.0167,0.0071
5062,2018,0.0155,0.0066
5062,2019,0.0158,0.0067
5063,2015,0.1362,0.0306
5063,2016,0.1509,0.0338
5063,2017,0.157,0.0351
5063,2018,0.1625,0.0363
5063,2019,0.1672,0.0373
5064,2015,0.0165,0.0037
5064,2016,0.017,0.0038
5064,2017,0.0218,0.0049
5064,2018,0.019,0.0043
5064,2019,0.0167,0.0037
5061,2015,0.0029,0.0009
5061,2016,0.2229,0.0724
5061,2017,0.0007,0.0002
5061,2018,0.7552,0.2454
5061,2019,0.3263,0.106
5062,2015,0.2033,0.0864
5062,2016,0.2095,0.08900000000000001
5062,2017,0.2166,0.092
5062,2018,0.2238,0.0951
5062,2019,0.2282,0.09699999999999999
5063,2015,3.8221,0.9368
5063,2016,3.9157,0.9595
5063,2017,4.0169,0.9838
5063,2018,4.1201,1.0087
5063,2019,4.1827,1.0239
5064,2015,0.3708,0.0834
5064,2016,0.3993,0.0898
5064,2017,0.4189,0.0943
5064,2018,0.535,0.1204
5064,2019,0.4819,0.1084
5061,2015,0.0006,0.0002
5061,2016,0.0003,0.0001
5061,2017,0.0004,0.0001
5061,2018,0.0005,0.0002
5061,2019,0.0004,0.0001
5064,2015,0.0,0.0
5064,2016,0.0,0.0
5064,2017,0.0,0.0
5064,2018,0.0,0.0
5064,2019,0.0,0.0
5061,2015,0.0145,0.0047
5061,2016,0.0124,0.004
5061,2017,0.02,0.0065
5061,2018,0.0443,0.0144
5061,2019,0.0256,0.0083
5062,2015,0.0308,0.0131
5062,2016,0.0324,0.0138
5062,2017,0.0328,0.013999999999999999
5062,2018,0.0326,0.0138
5062,2019,0.033,0.013999999999999999
5063,2015,0.174,0.0429
5063,2016,0.1754,0.0429
5063,2017,0.17600000000000002,0.043
5063,2018,0.1763,0.0436
5063,2019,0.1792,0.0444
5064,2015,0.0311,0.006999999999999999
5064,2016,0.0319,0.0072
5064,2017,0.034,0.0077
5064,2018,0.0228,0.0051
5064,2019,0.0191,0.0043
5061,2015,0.3633,0.1181
5061,2016,0.316,0.1027
5061,2017,0.2234,0.0726
5061,2018,0.2234,0.0726
5061,2019,0.2543,0.0826
5062,2015,1.4963,0.6359
5062,2016,1.5263,0.6487
5062,2017,1.6058,0.6825
5062,2018,1.6234,0.69
5062,2019,1.6663,0.7082
5063,2015,15.5229,4.034
5063,2016,15.7658,4.0847
5063,2017,16.0658,4.1425
5063,2018,16.4115,4.218
5063,2019,16.6842,4.2797
5064,2015,1.2655,0.2847
5064,2016,1.2451,0.2802
5064,2017,1.1065,0.249
5064,2018,1.3074,0.2942
5064,2019,1.2811,0.2882
5061,2015,1.7622,0.5727
5061,2016,1.3605,0.4421
5061,2017,1.4011,0.4554
5061,2018,1.0914,0.3547
5061,2019,1.2843,0.4174
5062,2015,0.5055,0.2148
5062,2016,0.498,0.2117
5062,2017,0.496,0.2108
5062,2018,0.4902,0.2083
5062,2019,0.4837,0.2056
5063,2015,0.5119,0.1595
5063,2016,0.5107,0.1591
5063,2017,0.5034,0.1574
5063,2018,0.4977,0.1559
5063,2019,0.4911,0.1544
5064,2015,0.1878,0.0422
5064,2016,0.2577,0.057999999999999996
5064,2017,0.1966,0.0442
5064,2018,0.2668,0.06
5064,2019,0.2552,0.0574
5061,2015,0.3325,0.10800000000000001
5061,2016,0.3325,0.10800000000000001
5061,2017,0.3325,0.10800000000000001
5061,2018,0.3325,0.10800000000000001
5061,2019,0.3325,0.10800000000000001
5062,2015,0.0452,0.0192
5062,2016,0.0422,0.0179
5062,2017,0.0319,0.0135
5062,2018,0.0325,0.0138
5062,2019,0.0327,0.0139
5063,2015,2.625,0.6445
5063,2016,2.3626,0.5968
5063,2017,1.7881,0.4611
5063,2018,1.8162,0.4731
5063,2019,1.8212,0.4755
5064,2015,0.0097,0.0022
5064,2016,0.0128,0.0029
5064,2017,0.0087,0.002
5064,2018,0.0236,0.0053
5064,2019,0.0125,0.0028
5061,2015,55.0348,17.8863
5061,2016,68.3995,22.2299
5061,2017,81.2854,26.4178
5061,2018,80.4533,26.1473
5061,2019,76.7128,24.9316
5062,2015,26.8847,11.425999999999998
5062,2016,26.2572,11.1593
5062,2017,25.1875,10.7047
5062,2018,25.0295,10.6375
5062,2019,24.871,10.5702
5063,2015,278.3964,61.2612
5063,2016,283.0467,62.2587
5063,2017,280.5819,61.7549
5063,2018,279.8701,61.6703
5063,2019,281.3938,62.0641
5064,2015,34.775999999999996,7.8246
5064,2016,32.1577,7.2355
5064,2017,38.8465,8.7405
5064,2018,37.6819,8.4784
5064,2019,39.5177,8.8915
5061,2015,0.0038,0.0012
5061,2016,0.0038,0.0012
5061,2017,0.0038,0.0012
5061,2018,0.0038,0.0012
5061,2019,0.0038,0.0012
5062,2015,0.0577,0.0245
5062,2016,0.0594,0.0253
5062,2017,0.0567,0.0241
5062,2018,0.0607,0.0258
5062,2019,0.0565,0.024
